ID	YEAR	FOCAL_DEPTH	Magnitude	COUNTRY	LATITUDE	LONGITUDE	Tsumani Deaths	MISSING	INJURIES	DAMAGE_MILLIONS_DOLLARS	TOTAL_DEATHS10	-426		7.1	GREECE	38.9	22.7					2500
11	-373		7.3	GREECE	38.25	22.25					
3093	79			ITALY	40.821	14.426					3500
27	142		7	GREECE	36.7	28					
38	365	70	8	GREECE	35	23	5000				5000
2317	478			TURKEY	40.8	29.2					
43	543		6.8	TURKEY	40.3	27.8					
46	551		7.1	GREECE	38.4	22.3					4000
47	551		7.8	TURKEY	40.8	29.9					
3477	552		7.2	GREECE	38.4	22.4					
48	554		7	GREECE	36.5	27.5					
2286	557		7	TURKEY	40.9	27.6					
3765	558		7	GREECE	37.1	27.7					
53	684		8.4	JAPAN	32.5	134					
54	701		7	JAPAN	35.7	135.4					
55	704		7	JAPAN	33.8	136.7					
57	744		6.4	JAPAN	32.4	130.5	1520				1520
58	745		6.5	JAPAN	34.6	135.3					
66	818		7.9	JAPAN	35.2	139.3					
69	850		7	JAPAN	39	139.9					
72	863		7	JAPAN	37.1	138					
74	869		8.6	JAPAN	38.5	143.8	1000				
76	887		6.5	JAPAN	37.5	138.1	2000				2000
77	887		8.6	JAPAN	33	135.3					
79	922		7	JAPAN	33.8	136.7					
3429	963			ITALY	38	15					
3430	986		7.5	TURKEY	40.8	29.2					
83	1026		7.5	JAPAN	34.8	131.8	1001				1001
84	1033			SYRIA	33	35					70000
3103	1065			TURKEY							
90	1068			ISRAEL	29.5	34.95					
5500	1088			JAPAN	39.64	141.96					
93	1088		7	JAPAN	40.5	143					
96	1096		8.4	JAPAN	34	137.5					
2992	1099		8.4	JAPAN	33	135.5					
2852	1169		7	ITALY	37.3	15.03					16000
3108	1172			ITALY	38	15					
100	1202		7.6	SYRIA	33.5	36					30000
101	1222		6.6	CYPRUS ISLAND	34.5	33					
104	1241		7	JAPAN	35.2	139.4					
105	1257		7.5	JAPAN	39	144					
106	1257		7	JAPAN	35.2	139.5					
3109	1265		6.6	TURKEY	40.7	27.4					
3479	1270			GREECE	41.3	19.5					
111	1303		8	GREECE	34	26					4000
114	1331		7	JAPAN	33.7	135.2					
116	1341		7	JAPAN	41	139.5	2600				2600
3114	1343		7.5	TURKEY	40.8	28.3					
122	1360		7	JAPAN	33.4	136.2					
124	1361		8.4	JAPAN	33	135	660				660
3116	1365			ALGERIA	36.8	3					
128	1403		7	JAPAN	33.7	136.5					
131	1408		7	JAPAN	33.8	136.9					
2318	1419			TURKEY							
133	1433		7.1	JAPAN	34.9	139.5					
136	1448		7	JAPAN	37.5	138.2					
3119	1494		7.2	GREECE	35.5	25.5					
142	1495		7.1	JAPAN	35.1	139.5	200				200
2993	1498		7.5	JAPAN	33.5	135.2					
146	1498		8.3	JAPAN	34	138.1	5000				5000
